豆瓣排名,电影名,编剧,主演,类型,制片国家/地区,语言,上映日期,片长,豆瓣评分,评价人数,星星数,五星比例,四星比例,三星比例,二星比例,一星比例
62,['美国往事 Once Upon a Time in America'],"['皮耶罗·德·贝纳迪', '莱奥纳多·本韦努蒂', '弗兰科·奥卡利', '恩里科·梅迪欧力', '弗兰科·费里尼', '赛尔乔·莱昂内']","['罗伯特·德尼罗', '詹姆斯·伍兹', '伊丽莎白·麦戈文']","['剧情', '犯罪']",[' 意大利 / 美国'],[' 英语 / 法语 / 意大利语'],"['1984-02-17(波士顿首映)', '1984-09-28(意大利)']",['229分钟(导演剪辑版)'],['9.1'],['235141'],['45'],['64.9%'],['28.2%'],['6.1%'],['0.5%'],['0.2%']
,,,,,,,,,,,,,,,,
63,['看不见的客人 Contratiempo'],['奥里奥尔·保罗'],"['马里奥·卡萨斯', '阿娜·瓦格纳', '何塞·科罗纳多']","['剧情', '悬疑', '惊悚', '犯罪']",[' 西班牙'],[' 西班牙语'],"['2017-09-15(中国大陆)', '2016-09-23(奇幻电影节)', '2017-01-06(西班牙)']",['106分钟'],['8.8'],['580792'],['45'],['48.1%'],['42.5%'],['8.8%'],['0.4%'],['0.1%']
,,,,,,,,,,,,,,,,
64,['黑客帝国 The Matrix'],"['莉莉·沃卓斯基', '拉娜·沃卓斯基']","['基努·里维斯', '凯瑞-安·莫斯', '劳伦斯·菲什伯恩']","['动作', '科幻']",[' 美国 / 澳大利亚'],[' 英语'],['1999-03-31(美国)'],['136分钟'],['8.9'],['406587'],['45'],['56.4%'],['33.8%'],['9.0%'],['0.6%'],['0.2%']
,,,,,,,,,,,,,,,,
65,['西西里的美丽传说 Malèna'],"['朱塞佩·托纳多雷', '卢恰诺·温琴佐尼']","['莫妮卡·贝鲁奇', '朱塞佩·苏尔法罗', 'Luciano Federico']","['剧情', '情色', '战争']",[' 意大利 / 美国'],[' 意大利语 / 英语 / 拉丁语 / 古希腊语'],['2000-10-27(意大利)'],['109 分钟'],['8.8'],['515183'],['45'],['51.2%'],['39.4%'],['8.8%'],['0.5%'],['0.1%']
,,,,,,,,,,,,,,,,
66,['小鞋子 ?????? ?????'],['马基德·马基迪'],"['法拉赫阿米尔·哈什米安', '默罕默德·阿米尔·纳吉', '巴哈丽·西迪奇']","['剧情', '家庭', '儿童']",[' 伊朗'],[' 波斯语'],"['1997-02(伊朗)', '1999-01-22(美国)']",['89分钟'],['9.2'],['201804'],['45'],['65.5%'],['29.5%'],['4.6%'],['0.2%'],['0.1%']
,,,,,,,,,,,,,,,,
67,['大闹天宫'],"['李克弱', '万籁鸣']","['邱岳峰', '富润生', '毕克']","['动画', '奇幻']",[' 中国大陆'],[' 汉语普通话'],"['1961(中国大陆)', '1964(中国大陆)', '1978(中国大陆)', '2004(中国大陆)']",['114分钟'],['9.3'],['169203'],['45'],['71.9%'],['22.2%'],['5.2%'],['0.4%'],['0.2%']
,,,,,,,,,,,,,,,,
68,["哈利·波特与魔法石 Harry Potter and the Sorcerer's Stone"],"['史蒂夫·克洛夫斯', 'J·K·罗琳']","['丹尼尔·雷德克里夫', '艾玛·沃森', '鲁伯特·格林特']","['奇幻', '冒险']",[' 美国 / 英国'],[' 英语'],"['2002-01-26(中国大陆)', '2001-11-04(英国首映)', '2001-11-16(美国)']",['152分钟'],['8.9'],['427630'],['45'],['54.3%'],['36.0%'],['9.1%'],['0.5%'],['0.1%']
,,,,,,,,,,,,,,,,
69,['让子弹飞'],"['朱苏进', '述平', '姜文', '郭俊立', '危笑', '李不空', '马识途']","['姜文', '葛优', '周润发']","['剧情', '喜剧', '动作', '西部']",[' 中国大陆 / 香港'],[' 汉语普通话 / 四川话 / 山西话'],['2010-12-16(中国大陆)'],['132分钟'],['8.7'],['885808'],['45'],['51.4%'],['36.5%'],['10.6%'],['1.0%'],['0.4%']
,,,,,,,,,,,,,,,,
70,['拯救大兵瑞恩 Saving Private Ryan'],['罗伯特·罗达特'],"['汤姆·汉克斯', '汤姆·塞兹摩尔', '爱德华·伯恩斯']","['剧情', '历史', '战争']",[' 美国'],[' 英语 / 法语 / 德语 / 捷克语'],['1998-07-24(美国)'],['169分钟'],['9.0'],['346701'],['45'],['56.2%'],['35.9%'],['7.5%'],['0.4%'],['0.1%']
,,,,,,,,,,,,,,,,
71,['致命魔术 The Prestige'],"['乔纳森·诺兰', '克里斯托弗·诺兰', '克里斯托弗·普瑞丝特']","['休·杰克曼', '克里斯蒂安·贝尔', '迈克尔·凯恩']","['剧情', '悬疑', '惊悚']",[' 美国 / 英国'],[' 英语'],['2006-10-20(美国)'],['130分钟'],['8.8'],['471613'],['45'],['52.1%'],['38.4%'],['8.8%'],['0.6%'],['0.2%']
,,,,,,,,,,,,,,,,
72,['七宗罪 Se7en'],['安德鲁·凯文·沃克'],"['摩根·弗里曼', '布拉德·皮特', '凯文·史派西']","['剧情', '悬疑', '惊悚', '犯罪']",[' 美国'],[' 英语 / 葡萄牙语'],['1995-09-22(美国)'],['127分钟'],['8.8'],['565609'],['45'],['50.0%'],['39.7%'],['9.6%'],['0.6%'],['0.2%']
,,,,,,,,,,,,,,,,
73,['音乐之声 The Sound of Music'],"['乔治·胡达勒克', '霍华德·林赛', '拉塞尔·克劳斯', '恩斯特·莱赫曼', 'Maria von Trapp']","['朱莉·安德鲁斯', '克里斯托弗·普卢默', '埃琳诺·帕克']","['剧情', '爱情', '歌舞', '传记']",[' 美国'],[' 英语 / 德语'],['1965-03-02(美国)'],['174分钟'],['9.0'],['318687'],['45'],['57.1%'],['34.7%'],['7.8%'],['0.3%'],['0.1%']
,,,,,,,,,,,,,,,,
74,['被嫌弃的松子的一生 嫌われ松子の一生'],"['中岛哲也', '山田宗树']","['中谷美纪', '瑛太', '香川照之']","['剧情', '歌舞']",[' 日本'],[' 日语'],['2006-05-27(日本)'],['130 分钟'],['8.9'],['418835'],['45'],['55.7%'],['33.6%'],['9.1%'],['1.1%'],['0.4%']
,,,,,,,,,,,,,,,,
75,['低俗小说 Pulp Fiction'],"['昆汀·塔伦蒂诺', '罗杰·阿夫瑞']","['约翰·特拉沃尔塔', '乌玛·瑟曼', '阿曼达·普拉莫']","['剧情', '喜剧', '犯罪']",[' 美国'],[' 英语 / 西班牙语 / 法语'],"['1994-05-12(戛纳电影节)', '1994-10-14(美国)']",['154分钟'],['8.8'],['465418'],['45'],['53.2%'],['35.7%'],['9.9%'],['1.0%'],['0.3%']
,,,,,,,,,,,,,,,,
76,['沉默的羔羊 The Silence of the Lambs'],"['托马斯·哈里斯', '泰德·塔里']","['朱迪·福斯特', '安东尼·霍普金斯', '斯科特·格伦']","['剧情', '惊悚', '犯罪']",[' 美国'],[' 英语'],['1991-02-14(美国)'],['118分钟'],['8.8'],['471236'],['45'],['50.1%'],['40.0%'],['9.1%'],['0.5%'],['0.1%']
,,,,,,,,,,,,,,,,
77,["天使爱美丽 Le fabuleux destin d'Amélie Poulain"],"['纪尧姆·洛朗', '让-皮埃尔·热内']","['奥黛丽·塔图', '马修·卡索维茨', '吕菲斯']","['喜剧', '爱情']",[' 法国 / 德国'],[' 法语 / 俄语'],"['2001-04-25(法国)', '2001-08-16(德国)']",['122分钟'],['8.7'],['628379'],['45'],['50.3%'],['36.2%'],['12.0%'],['1.2%'],['0.3%']
,,,,,,,,,,,,,,,,
78,['猫鼠游戏 Catch Me If You Can'],['杰夫·内桑森'],"['莱昂纳多·迪卡普里奥', '汤姆·汉克斯', '克里斯托弗·沃肯']","['剧情', '传记', '犯罪']",[' 美国 / 加拿大'],[' 英语 / 法语'],"['2002-12-16(洛杉矶首映)', '2002-12-25(美国)']",['141 分钟'],['8.9'],['364919'],['45'],['52.1%'],['40.0%'],['7.5%'],['0.4%'],['0.1%']
,,,,,,,,,,,,,,,,
79,['勇敢的心 Braveheart'],['兰道尔·华莱士'],"['梅尔·吉布森', '苏菲·玛索', '布莱恩·考克斯']","['剧情', '动作', '传记', '历史', '战争']",[' 美国'],[' 英语 / 法语 / 拉丁语 / 苏格兰盖尔语'],"['1995-05-18(西雅图电影节)', '1995-05-24(美国)']",['177 分钟'],['8.9'],['372765'],['45'],['54.5%'],['34.9%'],['9.6%'],['0.8%'],['0.2%']
,,,,,,,,,,,,,,,,
80,['蝴蝶效应 The Butterfly Effect'],"['J·麦基·格鲁伯', '埃里克·布雷斯']","['阿什顿·库彻', '梅洛拉·沃尔特斯', '艾米·斯马特']","['剧情', '科幻', '悬疑', '惊悚']",[' 美国 / 加拿大'],[' 英语'],['2004-01-23(美国)'],['113分钟'],['8.7'],['518669'],['45'],['49.3%'],['39.9%'],['9.9%'],['0.7%'],['0.2%']
,,,,,,,,,,,,,,,,
81,['剪刀手爱德华 Edward Scissorhands'],"['蒂姆·波顿', '卡罗琳·汤普森']","['约翰尼·德普', '薇诺娜·瑞德', '黛安·韦斯特']","['剧情', '爱情', '奇幻']",[' 美国'],[' 英语'],['1990-12-06(美国)'],['105分钟'],['8.7'],['643363'],['45'],['47.6%'],['39.9%'],['11.4%'],['0.8%'],['0.2%']
,,,,,,,,,,,,,,,,
82,['春光乍泄 春光乍洩'],['王家卫'],"['张国荣', '梁朝伟', '张震']","['剧情', '爱情', '同性']",[' 香港 / 日本 / 韩国'],[' 粤语 / 汉语普通话 / 西班牙语'],"['1997-05-17(戛纳电影节)', '1997-05-30(香港)']",['96分钟'],['8.9'],['345581'],['45'],['54.8%'],['35.6%'],['8.8%'],['0.6%'],['0.2%']
,,,,,,,,,,,,,,,,
83,['心灵捕手 Good Will Hunting'],"['本·阿弗莱克', '马特·达蒙']","['马特·达蒙', '罗宾·威廉姆斯', '本·阿弗莱克']",['剧情'],[' 美国'],[' 英语'],['1997-12-05(美国)'],['126 分钟'],['8.8'],['378767'],['45'],['51.5%'],['39.3%'],['8.5%'],['0.5%'],['0.1%']
,,,,,,,,,,,,,,,,
84,['禁闭岛 Shutter Island'],"['莱塔·卡罗格里迪斯', '丹尼斯·勒翰']","['莱昂纳多·迪卡普里奥', '马克·鲁弗洛', '本·金斯利']","['剧情', '悬疑', '惊悚']",[' 美国'],[' 英语 / 德语'],"['2010-02-13(柏林电影节)', '2010-02-19(美国)']",['138 分钟'],['8.7'],['504956'],['45'],['47.8%'],['42.2%'],['9.3%'],['0.6%'],['0.1%']
,,,,,,,,,,,,,,,,
85,['布达佩斯大饭店 The Grand Budapest Hotel'],"['韦斯·安德森', '雨果·吉尼斯', '斯蒂芬·茨威格']","['拉尔夫·费因斯', '托尼·雷沃罗利', '艾德里安·布洛迪']","['剧情', '喜剧', '冒险']",[' 美国 / 德国 / 英国'],[' 英语 / 法语 / 德语'],"['2014-02-06(柏林电影节)', '2014-03-28(美国)']",['99分钟'],['8.8'],['467792'],['45'],['51.7%'],['37.8%'],['9.5%'],['0.8%'],['0.2%']
,,,,,,,,,,,,,,,,
86,['穿条纹睡衣的男孩 The Boy in the Striped Pajamas'],"['约翰·伯恩', '马克·赫尔曼']","['阿萨·巴特菲尔德', '维拉·法米加', '卡拉·霍根']","['剧情', '战争']",[' 英国 / 美国'],[' 英语 / 西班牙语'],"['2008-09-12(英国)', '2008-11-07(美国)']",['94分钟'],['9.0'],['232649'],['45'],['57.3%'],['36.3%'],['5.9%'],['0.4%'],['0.1%']
,,,,,,,,,,,,,,,,
87,['入殓师 おくりびと'],['小山薰堂'],"['本木雅弘', '广末凉子', '山崎努']",['剧情'],[' 日本'],[' 日语'],['2008-09-13(日本)'],['130 分钟'],['8.8'],['388814'],['45'],['51.4%'],['39.0%'],['9.0%'],['0.5%'],['0.1%']
,,,,,,,,,,,,,,,,
88,['阿凡达 Avatar'],['詹姆斯·卡梅隆'],"['萨姆·沃辛顿', '佐伊·索尔达娜', '西格妮·韦弗']","['动作', '科幻', '战争', '冒险']",[' 美国 / 英国'],[' 英语 / 西班牙语'],"['2010-01-04(中国大陆)', '2009-12-18(美国)']",['162分钟'],['8.7'],['740855'],['45'],['49.1%'],['36.9%'],['12.6%'],['1.0%'],['0.3%']
,,,,,,,,,,,,,,,,
89,['幽灵公主 もののけ姫'],['宫崎骏'],"['松田洋治', '石田百合子', '田中裕子']","['动画', '奇幻', '冒险']",[' 日本'],[' 日语'],['1997-07-12(日本)'],['134分钟'],['8.8'],['317338'],['45'],['53.0%'],['36.9%'],['9.4%'],['0.5%'],['0.1%']
,,,,,,,,,,,,,,,,
90,['阳光灿烂的日子'],"['姜文', '王朔']","['夏雨', '宁静', '陶虹']","['剧情', '爱情']",[' 中国大陆 / 香港'],[' 汉语普通话'],"['1995-08-21(中国大陆)', '1994-09-09(威尼斯电影节)', '1995-06-28(香港)']",['134分钟(中国大陆)'],['8.8'],['362480'],['45'],['50.4%'],['39.5%'],['9.4%'],['0.6%'],['0.2%']
,,,,,,,,,,,,,,,,
91,['致命ID Identity'],['Michael Cooney'],"['约翰·库萨克', '雷·利奥塔', '阿曼达·皮特']","['剧情', '悬疑', '惊悚']",[' 美国'],[' 英语'],['2003-04-25(美国)'],['90分钟'],['8.7'],['431980'],['45'],['47.6%'],['41.9%'],['9.7%'],['0.7%'],['0.2%']
,,,,,,,,,,,,,,,,
92,['第六感 The Sixth Sense'],['M·奈特·沙马兰'],"['布鲁斯·威利斯', '海利·乔·奥斯蒙', '托妮·科莱特']","['剧情', '悬疑', '惊悚']",[' 美国'],[' 英语 / 拉丁语 / 西班牙语'],['1999-08-06(美国)'],['107分钟'],['8.8'],['310599'],['45'],['51.7%'],['39.1%'],['8.6%'],['0.5%'],['0.1%']
,,,,,,,,,,,,,,,,
93,['加勒比海盗 Pirates of the Caribbean: The Curse of the Black Pearl'],"['泰德·艾略特', '特里·鲁西奥', '斯图尔特·贝亚蒂耶', '杰·沃尔伯特']","['约翰尼·德普', '杰弗里·拉什', '奥兰多·布鲁姆']","['动作', '奇幻', '冒险']",[' 美国'],[' 英语'],"['2003-11-21(中国大陆)', '2003-07-09(美国)']",['143 分钟'],['8.7'],['487512'],['45'],['46.4%'],['42.0%'],['10.8%'],['0.6%'],['0.1%']
,,,,,,,,,,,,,,,,
94,['狩猎 Jagten'],"['托马斯·温特伯格', '托比亚斯·林道赫姆']","['麦斯·米科尔森', '托玛斯·博·拉森', '安妮卡·韦德科普']",['剧情'],[' 丹麦 / 瑞典'],[' 丹麦语 / 英语 / 波兰语'],"['2012-05-20(戛纳电影节)', '2013-01-10(丹麦)']",['115分钟'],['9.1'],['186351'],['45'],['61.2%'],['32.3%'],['5.8%'],['0.5%'],['0.3%']
,,,,,,,,,,,,,,,,
95,['断背山 Brokeback Mountain'],"['拉里·麦克穆特瑞', '黛安娜·奥撒纳', '安妮·普鲁']","['希斯·莱杰', '杰克·吉伦哈尔', '米歇尔·威廉姆斯']","['剧情', '爱情', '同性', '家庭']",[' 美国 / 加拿大'],[' 英语'],"['2005-09-02(威尼斯电影节)', '2006-01-06(加拿大)', '2006-01-13(美国)']",['134分钟'],['8.7'],['426520'],['45'],['50.2%'],['37.2%'],['11.6%'],['0.8%'],['0.2%']
,,,,,,,,,,,,,,,,
96,['重庆森林 重慶森林'],['王家卫'],"['林青霞', '金城武', '梁朝伟']","['剧情', '爱情']",[' 香港'],[' 粤语 / 汉语普通话 / 英语 / 印地语 / 日语'],['1994-07-14(香港)'],['102分钟'],['8.7'],['444708'],['45'],['48.6%'],['39.4%'],['10.8%'],['0.9%'],['0.3%']
,,,,,,,,,,,,,,,,
97,['玛丽和马克思 Mary and Max'],['亚当·艾略特'],"['托妮·科莱特', '菲利普·塞默·霍夫曼', '巴瑞·哈姆弗莱斯']","['剧情', '喜剧', '动画']",[' 澳大利亚'],[' 英语 / 意第绪语'],"['2009-01-15(圣丹斯电影节)', '2009-04-09(澳大利亚)']",['92分钟'],['8.9'],['279951'],['45'],['56.5%'],['33.8%'],['8.7%'],['0.8%'],['0.2%']
,,,,,,,,,,,,,,,,
98,['摩登时代 Modern Times'],['查理·卓别林'],"['查理·卓别林', '宝莲·高黛', '亨利·伯格曼']","['剧情', '喜剧', '爱情']",[' 美国'],[' 英语'],['1936-02-25(美国)'],['87分钟'],['9.2'],['136618'],['45'],['67.2%'],['28.1%'],['4.4%'],['0.2%'],['0.1%']
,,,,,,,,,,,,,,,,
99,['喜剧之王 喜劇之王'],"['曾瑾昌', '周星驰', '李敏', '郑文辉', '冯勉恒', '梁嘉杰']","['周星驰', '张柏芝', '莫文蔚']","['剧情', '喜剧', '爱情']",[' 香港'],[' 粤语'],['1999-02-13(香港)'],['85分钟'],['8.7'],['476105'],['45'],['46.6%'],['40.7%'],['11.8%'],['0.8%'],['0.1%']
,,,,,,,,,,,,,,,,
100,['告白'],"['中岛哲也', '凑佳苗']","['松隆子', '冈田将生', '木村佳乃']","['剧情', '惊悚']",[' 日本'],[' 日语'],['2010-06-05(日本)'],['106分钟'],['8.7'],['446193'],['45'],['50.0%'],['37.7%'],['10.5%'],['1.3%'],['0.6%']
,,,,,,,,,,,,,,,,
101,['大鱼 Big Fish'],"['Daniel Wallace', '约翰·奥古斯特']","['伊万·麦克格雷格', '阿尔伯特·芬尼', '比利·克鲁德普']","['剧情', '家庭', '奇幻', '冒险']",[' 美国'],[' 英语 / 法语 / 俄语 / 粤语 / 汉语普通话'],"['2003-12-04(纽约首映)', '2004-01-09(美国)']",['125 分钟'],['8.8'],['330318'],['45'],['50.8%'],['37.7%'],['10.5%'],['0.8%'],['0.2%']
,,,,,,,,,,,,,,,,
102,['消失的爱人 Gone Girl'],['吉莉安·弗琳'],"['本·阿弗莱克', '裴淳华', '尼尔·帕特里克·哈里斯']","['剧情', '悬疑', '惊悚', '犯罪']",[' 美国'],[' 英语'],"['2014-09-26(纽约电影节)', '2014-10-03(美国)']",['149分钟'],['8.7'],['495450'],['45'],['47.5%'],['42.6%'],['9.1%'],['0.6%'],['0.2%']
,,,,,,,,,,,,,,,,
103,['一一'],['杨德昌'],"['吴念真', '李凯莉', '金燕玲']","['剧情', '爱情', '家庭']",[' 台湾 / 日本'],[' 汉语普通话 / 闽南语 / 英语 / 日语'],"['2000-05-14(戛纳电影节)', '2000-12-16(日本)', '2017-07-28(台湾)']",['173分钟'],['9.0'],['200995'],['45'],['60.8%'],['29.1%'],['8.7%'],['1.0%'],['0.4%']
,,,,,,,,,,,,,,,,
104,['射雕英雄传之东成西就 射鵰英雄傳之東成西就'],['刘镇伟'],"['梁朝伟', '林青霞', '张国荣']","['喜剧', '奇幻', '武侠', '古装']",[' 香港'],[' 粤语'],['1993-02-05(香港)'],['113分钟(香港)'],['8.7'],['364972'],['45'],['52.8%'],['32.8%'],['12.1%'],['1.7%'],['0.6%']
,,,,,,,,,,,,,,,,
105,['阳光姐妹淘 ??'],['姜炯哲'],"['沈恩京', '闵孝琳', '姜素拉']","['剧情', '喜剧']",[' 韩国'],[' 韩语'],['2011-05-04(韩国)'],['124分钟'],['8.8'],['357313'],['45'],['51.2%'],['37.5%'],['10.2%'],['0.9%'],['0.3%']
,,,,,,,,,,,,,,,,
106,['甜蜜蜜'],['岸西'],"['黎明', '张曼玉', '杨恭如']","['剧情', '爱情']",[' 香港'],[' 粤语 / 汉语普通话 / 英语'],"['2015-02-13(中国大陆)', '1996-11-02(香港)']",['118分钟(中国大陆)'],['8.8'],['294069'],['45'],['50.4%'],['39.5%'],['9.5%'],['0.5%'],['0.1%']
,,,,,,,,,,,,,,,,
107,['爱在黎明破晓前 Before Sunrise'],"['理查德·林克莱特', '金·克里桑']","['伊桑·霍克', '朱莉·德尔佩', '安德莉亚·埃克特']","['剧情', '爱情']",[' 美国 / 奥地利 / 瑞士'],[' 英语 / 德语 / 法语'],['1995-01-27(美国)'],['101分钟'],['8.8'],['305464'],['45'],['52.4%'],['35.4%'],['10.8%'],['1.1%'],['0.3%']
,,,,,,,,,,,,,,,,
108,['小森林 夏秋篇 リトル?フォレスト 夏?秋'],"['森淳一', '五十岚大介']","['桥本爱', '三浦贵大', '松冈茉优']",['剧情'],[' 日本'],[' 日语'],['2014-08-30(日本)'],['111分钟'],['9.0'],['206943'],['45'],['57.4%'],['34.1%'],['7.7%'],['0.6%'],['0.2%']
,,,,,,,,,,,,,,,,
109,['驯龙高手 How to Train Your Dragon'],"['威廉姆·戴维斯', '迪恩·德布洛斯', '克里斯·桑德斯', '葛蕾熙达·柯维尔']","['杰伊·巴鲁切尔', '杰拉德·巴特勒', '克雷格·费格森']","['动画', '奇幻', '冒险']",[' 美国'],[' 英语'],"['2010-05-14(中国大陆)', '2010-03-18(俄罗斯)', '2010-03-26(美国)']",['98分钟'],['8.7'],['409568'],['45'],['46.5%'],['42.2%'],['10.7%'],['0.5%'],['0.1%']
,,,,,,,,,,,,,,,,
110,['侧耳倾听 耳をすませば'],"['宫崎骏', '柊葵']","['本名阳子', '小林桂树', '高山南']","['剧情', '爱情', '动画']",[' 日本'],[' 日语 / 英语'],['1995-07-15(日本)'],['111分钟'],['8.8'],['237199'],['45'],['52.9%'],['36.8%'],['9.6%'],['0.5%'],['0.1%']
,,,,,,,,,,,,,,,,
111,['请以你的名字呼唤我 Call Me by Your Name'],"['詹姆斯·伊沃里', '安德列·艾席蒙']","['艾米·汉莫', '蒂莫西·柴勒梅德', '迈克尔·斯图巴']","['剧情', '爱情', '同性']",[' 意大利 / 法国 / 巴西 / 美国 / 荷兰 / 德国'],[' 英语 / 意大利语 / 法语 / 德语 / 希伯来语'],"['2017-01-22(圣丹斯电影节)', '2017-11-24(美国)']",['132分钟'],['8.8'],['296859'],['45'],['55.2%'],['33.4%'],['9.8%'],['1.2%'],['0.5%']
,,,,,,,,,,,,,,,,
112,['红辣椒 パプリカ'],"['水上清资', '今敏', '筒井康隆']","['林原惠美', '江守彻', '堀胜之祐']","['科幻', '动画', '悬疑', '惊悚']",[' 日本'],[' 日语'],"['2006-09-02(威尼斯电影节)', '2006-11-25(日本)']",['90 分钟'],['8.9'],['195176'],['45'],['57.2%'],['33.7%'],['8.2%'],['0.7%'],['0.2%']
,,,,,,,,,,,,,,,,
113,['倩女幽魂'],['阮继志'],"['张国荣', '王祖贤', '午马']","['爱情', '奇幻', '武侠', '古装']",[' 香港'],[' 粤语'],"['2011-04-30(中国大陆)', '1987-07-18(香港)']",['98分钟(香港)'],['8.7'],['373159'],['45'],['45.5%'],['43.1%'],['10.8%'],['0.5%'],['0.1%']
,,,,,,,,,,,,,,,,
114,['恐怖直播 ? ?? ???'],['金秉祐'],"['河正宇', '李璟荣', '全慧珍']","['剧情', '悬疑', '犯罪']",[' 韩国'],[' 韩语'],['2013-07-31(韩国)'],['97分钟'],['8.7'],['327212'],['45'],['48.9%'],['40.6%'],['9.6%'],['0.7%'],['0.2%']
,,,,,,,,,,,,,,,,
115,['风之谷 風の谷のナウシカ'],['宫崎骏'],"['岛本须美', '松田洋治', '榊原良子']","['动画', '奇幻', '冒险']",[' 日本'],[' 日语'],"['1992-05(中国大陆)', '1984-03-11(日本)']",['117分钟'],['8.8'],['233434'],['45'],['52.7%'],['37.1%'],['9.6%'],['0.5%'],['0.1%']
,,,,,,,,,,,,,,,,
116,['超脱 Detachment'],['卡尔·隆德'],"['艾德里安·布洛迪', '马西娅·盖伊·哈登', '詹姆斯·肯恩']",['剧情'],[' 美国'],[' 英语'],['2011-04-25(翠贝卡电影节)'],['97分钟'],['8.8'],['240241'],['45'],['53.3%'],['36.0%'],['9.5%'],['1.0%'],['0.3%']
,,,,,,,,,,,,,,,,
117,['上帝之城 Cidade de Deus'],"['布罗里欧·曼托伐尼', '保罗·林斯']","['亚历桑德雷·罗德里格斯', '莱安德鲁·菲尔米诺', '菲利佩·哈根森']","['剧情', '犯罪']",[' 巴西 / 法国'],[' 葡萄牙语'],"['2002-05-18(戛纳电影节)', '2002-08-30(巴西)']",['130分钟'],['8.9'],['192733'],['45'],['55.5%'],['35.9%'],['7.8%'],['0.6%'],['0.2%']
,,,,,,,,,,,,,,,,
118,['爱在日落黄昏时 Before Sunset'],"['理查德·林克莱特', '朱莉·德尔佩', '伊桑·霍克', '金·克里桑']","['伊桑·霍克', '朱莉·德尔佩', '弗农·多布切夫']","['剧情', '爱情']",[' 美国'],[' 英语 / 法语'],"['2004-02-10(柏林电影节)', '2004-07-30(美国)']",['80 分钟'],['8.8'],['267125'],['45'],['52.9%'],['35.1%'],['10.6%'],['1.1%'],['0.3%']
,,,,,,,,,,,,,,,,
119,['菊次郎的夏天 菊次郎の夏'],['北野武'],"['北野武', '关口雄介', '岸本加世子']","['剧情', '喜剧']",[' 日本'],[' 日语'],"['1999-05-20(戛纳电影节)', '1999-06-05(日本)']",['121 分钟'],['8.8'],['260974'],['45'],['51.1%'],['37.9%'],['10.0%'],['0.9%'],['0.2%']
,,,,,,,,,,,,,,,,
120,['幸福终点站 The Terminal'],"['安德鲁·尼科尔', '萨沙·杰瓦西 ', '杰夫·内桑森']","['汤姆·汉克斯', '凯瑟琳·泽塔-琼斯', '斯坦利·图齐']","['剧情', '喜剧', '爱情']",[' 美国'],[' 英语 / 俄语 / 法语 / 保加利亚语'],"['2005-01-14(中国大陆)', '2004-06-18(美国)']",['128分钟'],['8.7'],['294267'],['45'],['47.8%'],['41.5%'],['10.1%'],['0.6%'],['0.1%']
,,,,,,,,,,,,,,,,
121,['哈利·波特与死亡圣器(下) Harry Potter and the Deathly Hallows: Part 2'],"['史蒂夫·克洛夫斯', 'J·K·罗琳']","['丹尼尔·雷德克里夫', '艾玛·沃森', '鲁伯特·格林特']","['剧情', '悬疑', '奇幻', '冒险']",[' 美国 / 英国'],[' 英语'],"['2011-08-04(中国大陆)', '2011-07-15(美国)']",['130分钟'],['8.7'],['383568'],['45'],['50.9%'],['35.8%'],['12.1%'],['0.9%'],['0.3%']
,,,,,,,,,,,,,,,,
122,['小森林 冬春篇 リトル?フォレスト 冬?春'],"['森淳一', '五十岚大介']","['桥本爱', '三浦贵大', '松冈茉优']",['剧情'],[' 日本'],[' 日语'],['2015-02-14(日本)'],['120分钟'],['9.0'],['180617'],['45'],['58.4%'],['33.7%'],['7.2%'],['0.5%'],['0.2%']
,,,,,,,,,,,,,,,,
123,['杀人回忆 ??? ??'],"['奉俊昊', '沈成宝', '金光林']","['宋康昊', '金相庆', '金雷河']","['剧情', '悬疑', '惊悚', '犯罪']",[' 韩国'],[' 韩语'],['2003-05-02(韩国)'],['130分钟'],['8.7'],['285596'],['45'],['48.9%'],['39.9%'],['10.1%'],['0.9%'],['0.3%']
,,,,,,,,,,,,,,,,
124,['7号房的礼物 7??? ??'],"['李焕庆', '刘英雅']","['柳承龙', '朴信惠', '郑镇荣']","['剧情', '喜剧', '家庭']",[' 韩国'],[' 韩语'],['2013-01-23(韩国)'],['127分钟'],['8.8'],['254454'],['45'],['52.3%'],['36.4%'],['10.0%'],['1.0%'],['0.3%']
,,,,,,,,,,,,,,,,
125,['神偷奶爸 Despicable Me'],"['肯·道里欧', '塞尔希奥·巴勃罗斯', '辛科·保罗']","['史蒂夫·卡瑞尔', '杰森·席格尔', '拉塞尔·布兰德']","['喜剧', '动画', '冒险']",[' 美国 / 法国'],[' 英语'],"['2010-06-20(莫斯科电影节)', '2010-07-09(美国)']",['95分钟'],['8.5'],['536388'],['45'],['41.1%'],['45.5%'],['12.5%'],['0.7%'],['0.1%']
,,,,,,,,,,,,,,,,
126,['借东西的小人阿莉埃蒂 借りぐらしのアリエッティ'],"['宫崎骏', '丹羽圭子', '玛丽·诺顿']","['志田未来', '神木隆之介', '树木希林']","['动画', '奇幻', '冒险']",[' 日本'],[' 日语'],['2010-07-17(日本)'],['94分钟'],['8.7'],['289033'],['45'],['48.3%'],['40.8%'],['10.3%'],['0.5%'],['0.1%']
,,,,,,,,,,,,,,,,
