豆瓣排名,电影名,编剧,主演,类型,制片国家/地区,语言,上映日期,片长,豆瓣评分,评价人数,星星数,五星比例,四星比例,三星比例,二星比例,一星比例
15,['楚门的世界 The Truman Show'],['安德鲁·尼科尔'],"['金·凯瑞', '劳拉·琳妮', '艾德·哈里斯']","['剧情', '科幻']",[' 美国'],[' 英语'],['1998-06-05(美国)'],['103分钟'],['9.2'],['766935'],['45'],['66.2%'],['28.8%'],['4.6%'],['0.3%'],['0.1%']
,,,,,,,,,,,,,,,,
16,['大话西游之大圣娶亲 西遊記大結局之仙履奇緣'],"['刘镇伟', '吴承恩']","['周星驰', '吴孟达', '朱茵']","['喜剧', '爱情', '奇幻', '古装']",[' 香港 / 中国大陆'],[' 粤语 / 汉语普通话'],"['2014-10-24(中国大陆)', '2017-04-13(中国大陆重映)', '1995-02-04(香港)']",['95分钟'],['9.2'],['775423'],['45'],['67.2%'],['26.0%'],['6.1%'],['0.5%'],['0.3%']
,,,,,,,,,,,,,,,,
17,['星际穿越 Interstellar'],"['乔纳森·诺兰', '克里斯托弗·诺兰']","['马修·麦康纳', '安妮·海瑟薇', '杰西卡·查斯坦']","['剧情', '科幻', '冒险']",[' 美国 / 英国 / 加拿大 / 冰岛'],[' 英语'],"['2014-11-12(中国大陆)', '2014-11-07(美国)']",['169分钟'],['9.2'],['796154'],['45'],['69.3%'],['24.6%'],['5.2%'],['0.5%'],['0.4%']
,,,,,,,,,,,,,,,,
18,['龙猫 となりのトトロ'],['宫崎骏'],"['日高法子', '坂本千夏', '糸井重里']","['动画', '奇幻', '冒险']",[' 日本'],[' 日语'],"['2018-12-14(中国大陆)', '1988-04-16(日本)']",['86分钟'],['9.2'],['685373'],['45'],['64.5%'],['29.3%'],['5.9%'],['0.3%'],['0.1%']
,,,,,,,,,,,,,,,,
19,['教父 The Godfather'],"['马里奥·普佐', '弗朗西斯·福特·科波拉']","['马龙·白兰度', '阿尔·帕西诺', '詹姆斯·肯恩']","['剧情', '犯罪']",[' 美国'],[' 英语 / 意大利语 / 拉丁语'],"['1972-03-15(纽约首映)', '1972-03-24(美国)']",['175 分钟'],['9.3'],['502827'],['45'],['69.5%'],['24.5%'],['5.4%'],['0.5%'],['0.2%']
,,,,,,,,,,,,,,,,
20,['熔炉 ???'],"['孔枝泳', '黄东赫']","['孔侑', '郑有美', '金志映']",['剧情'],[' 韩国'],[' 韩语'],['2011-09-22(韩国)'],['125分钟'],['9.3'],['449086'],['45'],['69.0%'],['26.6%'],['4.0%'],['0.3%'],['0.1%']
,,,,,,,,,,,,,,,,
21,['无间道 無間道'],"['麦兆辉', '庄文强']","['刘德华', '梁朝伟', '黄秋生']","['剧情', '悬疑', '犯罪']",[' 香港'],[' 粤语'],"['2003-09-05(中国大陆)', '2002-12-12(香港)']",['101分钟'],['9.1'],['636735'],['45'],['63.5%'],['30.8%'],['5.5%'],['0.2%'],['0.1%']
,,,,,,,,,,,,,,,,
22,['疯狂动物城 Zootopia'],"['拜伦·霍华德', '瑞奇·摩尔', '杰拉德·布什', '吉姆·里尔顿', '乔西·特立尼达', '菲尔·约翰斯顿', '珍妮弗·李']","['金妮弗·古德温', '杰森·贝特曼', '伊德里斯·艾尔巴']","['喜剧', '动画', '冒险']",[' 美国'],[' 英语 / 挪威语'],['2016-03-04(中国大陆/美国)'],['109分钟(中国大陆)'],['9.2'],['875140'],['45'],['64.1%'],['30.2%'],['5.3%'],['0.3%'],['0.1%']
,,,,,,,,,,,,,,,,
23,['当幸福来敲门 The Pursuit of Happyness'],['斯蒂夫·康拉德'],"['威尔·史密斯', '贾登·史密斯', '坦迪·牛顿']","['剧情', '家庭', '传记']",[' 美国'],[' 英语 / 粤语'],"['2008-01-17(中国大陆)', '2006-12-15(美国)']",['117分钟'],['9.0'],['810997'],['45'],['59.8%'],['32.7%'],['6.9%'],['0.4%'],['0.1%']
,,,,,,,,,,,,,,,,
24,['怦然心动 Flipped'],"['罗伯·莱纳', '安德鲁·沙因曼', '文德琳·范·德拉安南']","['玛德琳·卡罗尔', '卡兰·麦克奥利菲', '瑞贝卡·德·莫妮']","['剧情', '喜剧', '爱情']",[' 美国'],[' 英语'],"['2010-07-26(好莱坞首映)', '2010-09-10(美国)']",['90分钟'],['9.0'],['896100'],['45'],['59.3%'],['32.7%'],['7.4%'],['0.5%'],['0.1%']
,,,,,,,,,,,,,,,,
25,['触不可及 Intouchables'],"['奥利维埃·纳卡什', '埃里克·托莱达诺']","['弗朗索瓦·克鲁塞', '奥玛·希', '安娜·勒尼']","['剧情', '喜剧']",[' 法国'],[' 法语'],['2011-11-02(法国)'],['112分钟'],['9.2'],['535914'],['45'],['65.8%'],['29.0%'],['4.8%'],['0.3%'],['0.1%']
,,,,,,,,,,,,,,,,
26,['蝙蝠侠：黑暗骑士 The Dark Knight'],"['乔纳森·诺兰', '克里斯托弗·诺兰', '大卫·S·高耶']","['克里斯蒂安·贝尔', '希斯·莱杰', '艾伦·艾克哈特']","['剧情', '动作', '科幻', '惊悚', '犯罪']",[' 美国 / 英国'],[' 英语 / 汉语普通话'],"['2008-07-14(纽约首映)', '2008-07-18(美国)']",['152分钟'],['9.1'],['518036'],['45'],['64.9%'],['27.5%'],['6.8%'],['0.5%'],['0.2%']
,,,,,,,,,,,,,,,,
27,['乱世佳人 Gone with the Wind'],"['玛格丽特·米歇尔', '西德尼·霍华德', '奥利弗·H·P·加勒特', '本·赫克特', '乔·斯沃林', '约翰·范·德鲁登']","['费雯·丽', '克拉克·盖博', '奥利维娅·德哈维兰']","['剧情', '爱情', '历史', '战争']",[' 美国'],[' 英语'],"['1939-12-15(亚特兰大首映)', '1940-01-17(美国)']",['238分钟'],['9.2'],['372590'],['45'],['68.3%'],['26.3%'],['5.0%'],['0.3%'],['0.1%']
,,,,,,,,,,,,,,,,
28,['活着'],"['芦苇', '余华']","['葛优', '巩俐', '姜武']","['剧情', '家庭', '历史']",[' 中国大陆 / 香港'],[' 汉语普通话'],"['1994-05-17(戛纳电影节)', '1994-06-30(香港)']",['132分钟'],['9.2'],['414218'],['45'],['65.2%'],['29.2%'],['5.1%'],['0.4%'],['0.1%']
,,,,,,,,,,,,,,,,
