标题,链接,详情,发布时间,浏览量,图片链接
2017年(第10届)中国大学生计算机设计大赛,http://www.52jingsai.com/article-3003-1.html,报名日期：2016年11月8日开始（截止时间详询各学校教务处）/主办单位：教育部高等学校计算机类专业教学指导委员会、软件工程专业教学指导委员会、大学计算机课程教学指导委员会、文科计算机基础教学指导分委员会、中...,2016-11-1510:54, 29493,http://www.52jingsai.com/data/attachment/portal/201611/15/110715cm2p2zczftwwmf2w.png.thumb.jpg
2017年第四届全国虚拟仪器大赛,http://www.52jingsai.com/article-3002-1.html,报名截止日期：2017年1月30日//主办方：中国仪器仪表学会、教育部高等学校仪器科学与技术教学指导委员会//大赛分为软件组、创意孵化组、工程应用组、职业技能组四个组别。经过初赛作品评审，软件组入围决赛者将到承...,2016-11-1510:25, 5379,http://www.52jingsai.com/data/attachment/portal/201611/15/104836u9l8faa0ft5lltm0.png.thumb.jpg
2016中国电子“i+”创新创效创意大赛,http://www.52jingsai.com/article-2997-1.html,项目征集截止日期：2016年11月25日//主办单位：中国电子信息产业集团有限公司//参赛对象:包括来自中国电子成员单位团队或个人，产业园区入驻企业团队或个人。,2016-11-1410:31, 8503,http://www.52jingsai.com/data/attachment/portal/201611/14/103110vvvbx8sjasfvomvv.png.thumb.jpg
腾讯GAD联合HTC VIVE启动VR游戏开发者大赛,http://www.52jingsai.com/article-2990-1.html,报名截止日期：2016年12月28日//主办方：腾讯GAD游戏开发者平台//奖项：最佳游戏奖1名：20000元+证书+奖杯+HTCVive；最佳创意奖1名：10000元+证书+奖杯+HTCVive；最佳视觉奖1名：10000元+证书+奖杯+HTCVive；...,2016-11-1210:00, 2911,http://www.52jingsai.com/data/attachment/portal/201611/12/102548lkgoszo962g2n9ln.png.thumb.jpg
第四届发现杯全国大学生互联网软件设计大奖赛,http://www.52jingsai.com/article-2958-1.html,报名截止日期：2017年1月31日//主办方：中国电子商务协会、杭州市商务委员会、杭州经济技术开发区//本次大赛分App开发与设计和网络营销技能两个板块。设一等奖10个、二等奖20个、三等奖70个。颁发相应奖金和获奖证书...,2016-11-511:03, 15616,http://www.52jingsai.com/data/attachment/portal/201611/06/110920xqw4zvqyp1opqy40.jpg.thumb.jpg
2016年腾讯微校应用开发大赛,http://www.52jingsai.com/article-2920-1.html,报名截止日期：2016年12月17日//腾讯微校应用开发大赛，旨在鼓励并发掘有潜力的微校应用开发者，并将开发者创造的应用通过平台能力推向市场，实现更大的社会价值。在腾讯微校应用中心，已经有多款应用获得了千万级...,2016-10-3009:31, 7817,http://www.52jingsai.com/data/attachment/portal/201610/30/093309ne6upcklekxv5i8l.png.thumb.jpg
第八届蓝桥杯全国软件和信息技术专业人才大赛,http://www.52jingsai.com/article-2857-1.html,报名截止时间：2016年12月15日//大赛项目：JAVA软件开发、C/C++程序设计、嵌入式设计与开发、单片机设计与开发//为贯彻落实《国家中长期教育改革和发展规划纲要(2010-2020年)》和《国务院关于印发进一步鼓励软件产业...,2016-10-1915:54, 9286,http://www.52jingsai.com/data/attachment/portal/201610/19/155803nisl59am9sxcqyb9.jpg.thumb.jpg
“车库杯”2016年智能家电创新大赛,http://www.52jingsai.com/article-2571-1.html,报名截止时间：2016年10月29日//主办方：合肥市经济与信息化委员会、合肥经济技术开发区管理委员会//奖项：一等奖，人民币10万元；二等奖，人民币5万元；三等奖，人民币3万元；创意奖，人民币0.5万元；优秀奖，人.....,2016-10-1915:00, 3998,http://www.52jingsai.com/data/attachment/portal/201608/30/104504sggsx0m2x23wlg42.png.thumb.jpg
2016“ROBO”世界大学生医疗机器人创意大赛【中国赛区】,http://www.52jingsai.com/article-2826-1.html,报名截止时间：2016年10月30日//主办方：世界医疗机器人协会、深圳市南山区科学技术协会//终极大奖:中国赛区前三名队伍将获得组委会推荐直接参加2017年12月于瑞士举办的世界医疗机器人创意大赛总决赛，冲刺80，0...,2016-10-1410:15, 5201,http://www.52jingsai.com/data/attachment/portal/201610/14/103008xtpvntfiiravr0n2.jpg.thumb.jpg
2017年第六届ASC世界大学生超级计算机竞赛,http://www.52jingsai.com/article-2823-1.html,"报名截止日期：2017年1月//奖项：1、冠军：1支，奖金100,000RMB2、亚军：1支，奖金50,000RMB3、ePrize：1支，奖金27,182RMB4、最佳LINPACK奖：1支，奖金10,000RMB5、创新应用奖：4支，奖金10,000RMB6、...",2016-10-1409:16, 7924,http://www.52jingsai.com/data/attachment/portal/201610/13/212758d1urkd1qdjr2tvrj.png.thumb.jpg
2016CCF大数据与计算智能大赛,http://www.52jingsai.com/article-2785-1.html,报名截止日期：2016年11月14日//主办单位：中国计算机学会(CCF)//大赛面向大数据重点行业和应用领域征集需求，以大数据前沿技术、行业应用问题为导向，以大数据促进行业发展及产业升级为目标。大赛至今已成功举办三...,2016-10-510:18, 7749,http://www.52jingsai.com/data/attachment/portal/201610/05/110100sdwtoibwpy55dftp.png.thumb.jpg
全国高校科普H5制作大赛,http://www.52jingsai.com/article-2732-1.html,征集截止时间：2016年11月//主办单位:中国科学报社//奖品:一等奖：奖金5000元二等奖：奖金3000元三等奖：奖金1500元组织奖：奖金3000元//参赛选手:高校在读本科及研究生，专业不限。,2016-9-2509:46, 17372,http://www.52jingsai.com/data/attachment/portal/201609/25/104533bg3hc355ggfhmz9f.png.thumb.jpg
2016全国大学生移动应用创新大赛,http://www.52jingsai.com/article-2725-1.html,报名截止时间：2016年9月30日23：59//主办单位:中国教育电视台，光明日报，中国互联网协会，宿豫区人民政府，长治国家高新技术产业开发区//全国大学生移动应用创新大赛（ChinaMobileApplicationInnovationTourna...,2016-9-1611:35, 8961,http://www.52jingsai.com/data/attachment/portal/201609/23/115422so96cmc5dw8ub1d6.png.thumb.jpg
"2016中国西安""华山杯""网络安全技能大赛",http://www.52jingsai.com/article-2554-1.html,报名截止时间:2016年9月9日12时//参赛对象：面向全国网络安全爱好者//比赛内容:题目包括Web渗透、二进制漏洞挖掘利用、密码分析、取证分析、逆向分析、安全编程、移动安全等网络安全各项技术等专业知识。比赛题目专...,2016-8-2710:22, 3574,http://www.52jingsai.com/data/attachment/portal/201608/26/162845so96ko494leiiebb.jpg.thumb.jpg
洪荒之力往哪使：阿里云安全算法挑战赛（线上赛） ！,http://www.52jingsai.com/article-2543-1.html,报名截止时间：2016年9月18日//主办方：阿里云//奖励设置包括35万元奖金池，阿里云人才招聘绿色通道，以及与全国算法、安全专家切磋交流的机会。//线上赛环节共分两个赛题——《Webshell通信检测》和《钓鱼网站检测...,2016-8-2509:03, 4783,http://www.52jingsai.com/data/attachment/portal/201608/25/090554f29js2jabx9sc7av.jpg.thumb.jpg
第一届百度前端技术竞赛,http://www.52jingsai.com/article-2509-1.html,"报名截止时间：2016年9月11日/主办方：百度,北京邮电大学//奖项：最高奖一名，奖金10000元优胜奖三名，奖金6000元//面向全国各大院校，对前端技术、人机交互、用户体验有兴趣、有想法的青年才俊，以“共同畅想...",2016-8-1710:37, 5938,http://www.52jingsai.com/data/attachment/portal/201608/17/103810h1z603l16hl3qc6b.jpg.thumb.jpg
首届中国iOS应用开发大赛,http://www.52jingsai.com/article-2505-1.html,报名截止时间：2016年11月30日//主办单位：松山湖（生态园）管理委员会；承办单位：东莞至道信息科技有限公司；支持单位：Apple公司，我爱竞赛网//奖项：特等奖1名：奖金人民币10万元一等奖3名：奖金人民币5万/名...,2016-8-1613:45, 4257,http://www.52jingsai.com/data/attachment/portal/201608/16/134806bv9j9aarinnddnrd.png.thumb.jpg
青春燃起来，腾讯GAD · 2016全国高校游戏创意设计大赛,http://www.52jingsai.com/article-2368-1.html,截稿日期：2016年8月14日//奖项：一等奖（1名）20000元，二等奖（1名）20000元，三等奖（1名）6000元//除了2万大奖之外，赛事将对你的游戏作品产生莫大帮助、提供平台和推广等宝贵机会，也可以为在校生提供逆袭的机...,2016-7-2311:20, 4720,http://www.52jingsai.com/data/attachment/portal/201607/23/112920mohhozizb5l5yo5o.png.thumb.jpg
“点亮盲人的世界”信息无障碍大赛,http://www.52jingsai.com/article-2307-1.html,"报名截止日期：2016年8月24日//主办方:中国信息无障碍产品联盟、腾讯基金会和CSDN//奖项:优秀奖(5名)10000元,入围奖(10名)2000元,参与奖200元",2016-7-912:02, 4495,http://www.52jingsai.com/data/attachment/portal/201607/09/120511y2ltnhr20ildlmoo.png.thumb.jpg
携程云海大数据算法竞赛,http://www.52jingsai.com/article-2237-1.html,报名截止日期：2016年08月15日//奖金池共50000元人民币，奖项包括：冠军：1支队伍，奖金30000元人民币+获奖证书；优秀奖：2支队伍，奖金10000元人民币+获奖证书；,2016-6-3010:57, 4809,http://www.52jingsai.com/data/attachment/portal/201606/30/105656tmomqsmhlpqh24mu.jpg.thumb.jpg
2016大陆集团校园代码优化大赛,http://www.52jingsai.com/article-2218-1.html,大赛名称：2016大陆集团校园代码优化大赛报名截止日期：2016年6月30日|参赛要求参赛形式：学生以个人名义提交作品参赛资格：在校大学生竞赛时间：现已接受报名参赛方式：注册并下载试题，并在活动官网上传参赛作品|...,2016-6-2011:38, 4140,http://www.52jingsai.com/data/attachment/portal/201606/20/113753kw4ilirkw9rwv8vr.jpg.thumb.jpg
2016年第九届“英特尔杯”全国大学生软件创新大赛,http://www.52jingsai.com/article-2118-1.html,大赛名称：2016年第九届“英特尔杯”全国大学生软件创新大赛报名截止日期：2016年5月31日【大赛简介】为了进一步提升大学生创新思维，全面推动软件行业发展，促进软件专业技术人才培养，为国家软件产业输出有创新...,2016-5-1710:27, 6525,http://www.52jingsai.com/data/attachment/portal/201605/17/102704yk8hm7m8ggm87tgx.jpg.thumb.jpg
华为“创想杯”校园开发者大赛,http://www.52jingsai.com/article-2078-1.html,大赛名称：华为“创想杯”校园开发者大赛报名截止日期：2016年7月15日大赛详情华为“创想杯”校园开发者大赛，是华为公司面向在校学生打造的移动应用开发竞赛平台，旨在为有创新梦想的年轻人提供竞技和展示的舞台...,2016-5-711:19, 11055,http://www.52jingsai.com/data/attachment/portal/201605/07/111846y21bwxewyhlykb8v.jpg.thumb.jpg
2016年第12届百度之星编程大赛,http://www.52jingsai.com/article-2018-1.html,报名截止日期：2016年5月13日大赛介绍一年一度的Astar百度之星程序设计大赛由中国领先的互联网企业——百度公司举办，从2005年至今已成功举办了十一届。作为中国互联网行业最具知名度、最有影响力的大学生程序设计大...,2016-4-1912:00, 9174,http://www.52jingsai.com/data/attachment/portal/201604/19/120026w9t4bf9z9uuwwbrp.jpg.thumb.jpg
中国高校计算机大赛——大数据挑战赛,http://www.52jingsai.com/article-1968-1.html,大赛名称：中国高校计算机大赛——大数据挑战赛主办单位：教育部高等学校计算机类专业教学指导委员会、软件工程专业教学指导委员会、计算机课程教学指导委会和全国高等学校计算机教育研究会承办单位：阿里云、清华...,2016-4-511:30, 7435,http://www.52jingsai.com/data/attachment/portal/201604/05/113036yo3w0oaboqe4bbiv.jpg.thumb.jpg
微软编程之美2016挑战赛,http://www.52jingsai.com/article-1953-1.html,大赛名称：微软编程之美2016挑战赛主办单位：微软报名截止日期：2016年4月23日大赛详情编程之美挑战赛是微软面向学生开展的大型编程比赛，自2012年以来已成功举办了四届比赛。它致力于帮助学生了解、运用先进的...,2016-3-3016:52, 6437,http://www.52jingsai.com/data/attachment/portal/201603/30/165237nskk6mqbmekbmd6b.jpg.thumb.jpg
2016中国高校计算机大赛－移动应用创新赛,http://www.52jingsai.com/article-1932-1.html,大赛名称：2016中国高校计算机大赛－移动应用创新赛报名截止日期：2016年03月31日23时59分赛事介绍中国高校计算机大赛(ChinaCollegiateComputingContest，简称C4)是面向全国高校各专业在校学生的科技类竞赛活...,2016-3-2410:49, 8007,http://www.52jingsai.com/data/attachment/portal/201603/24/104800lgyiigev0geyrcsx.jpg.thumb.jpg
2016华为软件精英挑战赛（Code Craft）,http://www.52jingsai.com/article-1841-1.html,大赛名称：2016华为软件精英挑战赛报名截止日期：2016年4月11日大赛介绍2016华为软件精英挑战赛（2016HuaweiCodeCraft）是华为公司面向全球大学生举办的大型软件竞赛，致力于让参赛学生充分感受软件改变世界魅...,2016-3-500:23, 9778,http://www.52jingsai.com/data/attachment/portal/201603/05/002320i633q2wgczbp6so3.jpg.thumb.jpg
2016年第五届中国软件杯大学生软件设计大赛,http://www.52jingsai.com/article-1739-1.html,大赛名称：2016年第五届中国软件杯大学生软件设计大赛报名截止日期：2016年4月30日一、大赛简介为贯彻落实《国家中长期教育改革和发展规划纲要(2010-2020年)》，科学引导高校青年学子积极参加科研活动，切实增强自...,2016-2-2015:55, 9480,http://www.52jingsai.com/data/attachment/portal/201602/20/155503u566wxhrw0fapz0g.jpg.thumb.jpg
2016年（第9届）中国大学生计算机设计大赛,http://www.52jingsai.com/article-1729-1.html,大赛名称：2016年（第9届）中国大学生计算机设计大赛报名截止日期：2016年3月份（校内预赛时间：2016年春季，详询各学校团委）主办单位：教育部高等学校计算机类专业教学指导委员会、软件工程专业教学指导委员会、...,2016-2-1500:13, 8809,http://www.52jingsai.com/data/attachment/portal/201602/15/001225pe0m6intnepg0imh.jpg.thumb.jpg
2016年第四届 “多迪杯”全国大学生网站设计开发大赛,http://www.52jingsai.com/article-1704-1.html,大赛名称：2016年第四届“多迪杯”全国大学生网站设计开发大赛报名截止日期：2016年3月15日2016年“第四届‘多迪杯’全国大学生网站设计开发大赛”（下简称“大赛”）于2015年1月15日正式启动。“多迪杯”全国大...,2016-1-2014:09, 11545,http://www.52jingsai.com/data/attachment/portal/201601/20/140931bwh7fjrhxw6rfd0r.png.thumb.jpg
第一届H5设计大赛,http://www.52jingsai.com/article-1694-1.html,大赛名称：第一届H5设计大赛报名截止日期：2016年1月25日一、大赛简介随着移动互联网的光速发展，H5微场景首当其冲成为了2014年以来最成功的营销手段。咫尺微页作为H5微场景制作工具在移动时代的营销价值迅速得到...,2016-1-1412:55, 14734,http://www.52jingsai.com/data/attachment/portal/201601/14/125423kwzymj66sijsnmws.jpg.thumb.jpg
百度移动游戏开发者大赛,http://www.52jingsai.com/article-1681-1.html,"大赛名称：百度移动游戏开发者大赛报名截止日期：2016年2月29日“百度移动游戏开发者大赛”致力挖掘处于创业初期的，有潜力的开发者团队，提供从渠道资源,市场传播和基础服务想结合的最顶级一站式服务体验，全力...",2016-1-710:51, 5133,http://www.52jingsai.com/data/attachment/portal/201601/07/105125cxxm99ecwcmrxucu.jpg.thumb.jpg
2016 DJI开发者大赛正式启动，10万美元等你来拿！,http://www.52jingsai.com/article-1679-1.html,大赛名称：2016年DJI开发者大赛报名截止日期：2016年03月10日科技，改变了我们的生活，科技，让世界时刻发生着天翻地覆的变化。科技是什么？有人说，科技创造未来，有人说，科技决定人类的面貌，有人说，科技...,2016-1-611:58, 7950,http://www.52jingsai.com/data/attachment/portal/201601/06/115757oh9u99jy991uhxon.jpg.thumb.jpg
2016年全国大学生智能设备Apps创新大赛,http://www.52jingsai.com/article-1659-1.html,大赛主题：2016年全国大学生智能设备Apps创新大赛报名截止日期：2016年2月29日赛事介绍本次大赛由苹果公司、清华大学和中国高校创新创业教育联盟三方联合主办，由清华大学数据科学研究院具体组织实施，拟在全国高校...,2015-12-2510:48, 10644,http://www.52jingsai.com/data/attachment/portal/201512/25/104842lhahq3j8oprttsrj.jpg.thumb.jpg
第三届全国高校SDN网络应用创新开发大赛,http://www.52jingsai.com/article-1643-1.html,主题：第三届全国高校SDN网络应用创新开发大赛报名截止时间：2016年3月31日大赛主题本赛项以软件定义网络（SDN）创新应用为主要内容；提升网络虚拟空间技术层次，适应网络信息新技术人才培养的要求和特点，注重引领...,2015-12-1512:29, 5537,http://www.52jingsai.com/data/attachment/portal/201512/15/122841ftv9evyvt32yv2sn.png.thumb.jpg
2016年ASC亚洲大学生超级计算机竞赛,http://www.52jingsai.com/article-1617-1.html,大赛名称：2016年ASC亚洲大学生超级计算机竞赛报名截止日期：2016年1月初结束备注：下文为我爱竞赛网根据官网WEB页翻译所得，如由于本信息中的误译、错译、漏译等而对使用者和阅读者造成后果者，我爱竞赛网不承担任...,2015-12-409:24, 6520,http://www.52jingsai.com/data/attachment/portal/201512/04/112408cjaeuc9ggta916gq.jpg.thumb.jpg
2015游戏蛮牛杯第四届开发者大赛,http://www.52jingsai.com/article-1598-1.html,主题：2015游戏蛮牛杯第四届开发者大赛报名截止时间：2015年11月30日大赛简介由华宸互动科技（北京）有限公司主办，是一个面向技术开发者的大型赛事，自2012年起已成功举办三届，目前已成为业界内知名度高、影响力广...,2015-11-2518:43, 3883,http://www.52jingsai.com/data/attachment/portal/201511/25/184018fc1vj7oshsv7ze7w.png.thumb.jpg
第二届“XCTF”国际网络安全技术对抗联赛,http://www.52jingsai.com/article-1582-1.html,大赛名称：第二届“XCTF”国际网络安全技术对抗联赛报名截止日期：2016年4月结束第二届XCTF联赛进一步从全国联赛升级成为国际联赛。在“一带一路”国际战略背景下，以及首届XCTF全国联赛成功举办的基础上，第二届XCT...,2015-11-1822:08, 4745,http://www.52jingsai.com/data/attachment/portal/201511/18/220841axbhh7eeqqq7xnb5.jpg.thumb.jpg
百度开发者创新大赛——智能语音2015,http://www.52jingsai.com/article-1566-1.html,大赛名称：百度开发者创新大赛——智能语音2015报名截止日期：2015年11月20日语音作为人类沟通和获取信息最自然便捷的方式，正在迅速成为用户应用界面的关键元素。语音识别越来越智能，人们在获取信息、通讯交流、...,2015-11-1212:18, 4073,http://www.52jingsai.com/data/attachment/portal/201511/12/121725vo9xqoawdoo5zxno.jpg.thumb.jpg
华为Anyoffice2015HTML5应用开发大赛,http://www.52jingsai.com/article-1554-1.html,"大赛名称：华为Anyoffice2015HTML5应用开发大赛参赛截止日期：2016年1月25日你的梦想是否包括：想成为下一个“微信”、""陌陌""的开创人？想成为下一个世界闻名的黑客？想运用移动技术，改善我们可怕的雾霾天气...",2015-11-711:18, 5351,http://www.52jingsai.com/data/attachment/portal/201511/07/111903gsujwgugt33ztwtt.jpg.thumb.jpg
“全志杯”微创客高校挑战赛,http://www.52jingsai.com/article-1549-1.html,大赛名称：“全志杯”微创客高校挑战赛报名截止日期：2015.12.05一、大赛简介“全志杯”微创客高校挑战赛是由全志科技(AllwinnerTech)联合合作伙伴Google、ARM公司为全国大学生倾力打造的一项电子设计竞赛。本次大赛...,2015-11-512:54, 5427,http://www.52jingsai.com/data/attachment/portal/201511/05/125347rd571vjdh1blbdw8.jpg.thumb.jpg
释放心中的野“码”——饿了么黑客马拉松大赛,http://www.52jingsai.com/article-1545-1.html,大赛名称：释放心中的野“码”——饿了么黑客马拉松大赛报名截止日期：2015年11月29日给你24小时，你会写些什么？一个故事，一封情书？为什么不试试写一段改变世界的代码？中国领先的在线外卖平台——饿了么，现在，...,2015-11-412:32, 5892,http://www.52jingsai.com/data/attachment/portal/201511/04/125922caurp6jsmrfd1zs1.jpg.thumb.jpg
第三届全国高校物联网应用创新大赛,http://www.52jingsai.com/article-1505-1.html,主题：2016年（2015-2016）第三届全国高校物联网应用创新大赛报名截止日期：2015年12月25日大赛简介全国高校物联网应用创新大赛是面向全国高校开展的物联网竞赛活动，旨在培养学生在物联网方面的学习能力、创新意识...,2015-10-2012:26, 6620,http://www.52jingsai.com/data/attachment/portal/201510/20/122317fk2lkzda2t2g4ait.jpg.thumb.jpg
第七届蓝桥杯全国软件和信息技术专业人才大赛,http://www.52jingsai.com/article-1491-1.html,大赛名称：第七届蓝桥杯全国软件和信息技术专业人才大赛报名截止日期：2015年12月15日为贯彻落实《国家中长期教育改革和发展规划纲要(2010-2020年)》和《国务院关于印发进一步鼓励软件产业和集成电路产业发展若干政...,2015-10-1513:25, 5971,http://www.52jingsai.com/data/attachment/portal/201510/15/132526ycwz4t5cc7tzwcnp.jpg.thumb.jpg
2015中国信息安全技能竞赛（ISG）技术挑战赛,http://www.52jingsai.com/article-1479-1.html,大赛名称：2015中国信息安全技能竞赛（ISG）技术挑战赛主办单位：中国信息安全职业技能竞赛(ISG)组委会报名截止日期：10月16日为办好中国信息安全技能竞赛（ISG）技术挑战赛2015，确保此次赛事活动的公开、公平和...,2015-10-1211:56, 4843,http://www.52jingsai.com/data/attachment/portal/201510/12/115528c3c8odd3cc1d58ci.jpg.thumb.jpg
2015年全国大学生互联网+创新大赛暨第三届发现杯全国大学生互联网软件设计大奖赛,http://www.52jingsai.com/article-1476-1.html,大赛名称：2015年全国大学生互联网+创新大赛暨第三届发现杯全国大学生互联网软件设计大奖赛报名截止日期：12月31日大赛官网通知各有关高校：为贯彻落实国务院《关于积极推进“互联网+”行动的指导意见》（国发〔201...,2015-10-1111:51, 9840,http://www.52jingsai.com/data/attachment/portal/201510/11/115100chq3klkmzklm4hhm.jpg.thumb.jpg
2015年ACM(ICPC)国际大学生程序设计竞赛（亚洲赛区）,http://www.52jingsai.com/article-1369-1.html,"大赛名称：2015年ACM(ICPC)国际大学生程序设计竞赛（亚洲赛区）报名截止日期：长春站网络赛报名截止2015/9/6日一、大赛简介ACM国际大学生程序设计竞赛（ACMInternationalCollegiateProgrammingContest,简称AC...",2015-8-3112:49, 6701,http://www.52jingsai.com/data/attachment/portal/201508/31/124903tuex222ts7zhvvhf.jpg.thumb.jpg
第二届全国高校云计算应用创新大赛,http://www.52jingsai.com/article-1356-1.html,"大赛名称：第二届全国高校云计算应用创新大赛报名截止日期：2015年10月31日为引导高校云计算在教育教学、科研工作及产学研的深化发展,培养学生的创新意识、实践能力和团队合作精神，为全国高校搭建一个云计算科技创...",2015-8-2711:52, 4233,http://www.52jingsai.com/data/attachment/portal/201508/27/115205x8votyh8ivifo9t5.jpg.thumb.jpg
“游族杯”上海开放数据创新应用大赛,http://www.52jingsai.com/article-1349-1.html,"大赛名称：2015年“游族杯”上海开放数据创新应用大赛参赛截止日期：9月13日主办单位：上海市经济和信息化委员会、上海市交通委员会活动对象：领队必须为中国国籍，年满18周岁,其他所有团队成员的年龄不限、国籍...",2015-8-2417:52, 3687,http://www.52jingsai.com/data/attachment/portal/201508/24/175200d3dojfqqkscsq37z.jpg.thumb.jpg
2015 IBM Bluemix 在线应用开发大赛,http://www.52jingsai.com/article-1337-1.html,大赛名称：2015IBMBluemix在线应用开发大赛报名截止日期：10月31日大赛背景介绍快加入我们！在云计算、移动技术、认知计算、大数据、物联网等新的技术热潮下，IBMBluemix平台为其开发者开放了以上服务，为鼓励开...,2015-8-2016:57, 3404,http://www.52jingsai.com/data/attachment/portal/201508/20/165655nq8ixglghhhlh671.jpg.thumb.jpg
第二届全国高校移动互联网应用开发创新大赛,http://www.52jingsai.com/article-1312-1.html,大赛名称：第二届全国高校移动互联网应用开发创新大赛报名截止日期：2015年10月1日为进一步提高高校学生在移动互联网领域的应用创新能力，培养学生团队的自主创新创业意识，促进高校积极开展相关专业实践和技术人...,2015-8-1113:05, 4475,http://www.52jingsai.com/data/attachment/portal/201508/11/130453dji3ui3xd3tacagu.jpg.thumb.jpg
“5秒杯”HTML5游戏原创大赛,http://www.52jingsai.com/article-1254-1.html,大赛名称：“5秒杯”HTML5游戏原创大赛报名截止日期：2015年11月25日众多HTML5游戏开发比赛在2015之夏火热登场，由中国电信“爱游戏”与5秒轻游戏联合主办的“5秒杯”HTML5游戏原创大赛于2015年7月20启动，诚邀全国...,2015-7-2311:50, 4072,http://www.52jingsai.com/data/attachment/portal/201507/23/114959iwbaawqtzhssuk5u.jpg.thumb.jpg
IBM大型主机技术应用2015全国校园大赛,http://www.52jingsai.com/article-1202-1.html,大赛名称：IBM大型主机技术应用2015全国校园大赛报名截止日期：2015年9月15日1大赛概述1.1.定义IBM大型主机技术应用2015全国校园大赛（以下简称“大赛”）是由国际商业机器（中国）有限公司（以下简称“IBM中国”...,2015-7-612:21, 4883,http://www.52jingsai.com/data/attachment/portal/201507/06/122101yn314h2x41a2vbv1.jpg.thumb.jpg
Atmel&京东智能硬件创新设计PK大赛,http://www.52jingsai.com/article-1166-1.html,大赛名称：Atmel京东智能硬件创新设计PK大赛报名截止日期：2015年7月25日创世出英雄－Atmel与京东智能广邀各路创客挑战智能硬件创新设计PK大赛「精鼕(Duang)-万物互联丶安全无限智能硬件创新设计PK大赛」由领先...,2015-6-2617:50, 6245,http://www.52jingsai.com/data/attachment/portal/201506/26/175009mkdnkt7td97b75bd.jpg.thumb.jpg
2015年第四届“中科杯”全国软件设计大赛,http://www.52jingsai.com/article-1052-1.html,大赛主题：2015年第四届“中科杯”全国软件设计大赛报名截止时间：2015年6月15日24时一、大赛简介“中科杯”全国软件设计大赛是中国科学院软件研究所于2009年发起，中国软件行业协会和中国科学院软件研究所共同主办...,2015-5-2912:54, 14421,http://www.52jingsai.com/data/attachment/portal/201505/29/125437hkkklzlttkkjle2x.png.thumb.jpg
2015全国大学生移动应用创新大赛（CMAIT 2015）,http://www.52jingsai.com/article-959-1.html,大赛名称：2015全国大学生移动应用创新大赛（CMAIT2015）报名截止日期：2015年9月30日23:59大赛简介全国大学生移动应用创新大赛已于2014年成功举办首届赛事，大赛将为大学生搭建一个以移动互联网为工具，展示创新...,2015-5-912:22, 6068,http://www.52jingsai.com/data/attachment/portal/201505/09/122224gyrw3w9kyvg0ysg0.jpg.thumb.jpg
2015年华为软件精英挑战赛,http://www.52jingsai.com/article-927-1.html,大赛主题：2015年华为软件精英挑战赛截止日期：5月30日一、大赛简介2015华为软件精英挑战赛（2015HuaweiSoftwareEliteChallenge）是华为公司面向全国高校学生举办的大型软件竞赛，致力于让参赛学生充分感受软件...,2015-5-113:04, 4354,http://www.52jingsai.com/data/attachment/portal/201505/01/130257dzhlyhntbjt676kz.jpg.thumb.jpg
“麦芒杯”第一届全国研究生移动终端应用设计创新大赛,http://www.52jingsai.com/article-910-1.html,"大赛名称：“麦芒杯”第一届全国研究生移动终端应用设计创新大赛报名截止日期：2015年6月6日一、大赛简介全国研究生移动终端应用设计创新大赛（英文名称：ChinaGraduateContestonApplication,DesignandInnov...",2015-4-2813:30, 3634,http://www.52jingsai.com/data/attachment/portal/201504/28/133022pf1te1xgdy0fe95x.jpg.thumb.jpg
2015 Unique Hack Day全国大学生二十四小时极限编程马拉松大赛,http://www.52jingsai.com/article-844-1.html,大赛名称：2015UniqueHackDay全国大学生二十四小时极限编程马拉松大赛报名截止日期：2015年5月5日24:00UniqueHackDay大赛简介什么是UniqueHackDay？UniqueHackDay是一项面向全国大学生的黑客马拉松，它将...,2015-4-1611:46, 4527,http://www.52jingsai.com/data/attachment/portal/201504/16/114504cioaobzo4ofusoma.jpg.thumb.jpg
第三届“多迪杯”全国大学生网站设计开发大赛,http://www.52jingsai.com/article-815-1.html,主题：第三届“多迪杯”全国大学生网站设计开发大赛报名截止日期：2015年4月28日大赛背景“多迪杯”全国大学生网站设计开发大赛是一项面向中国在校学生的公益性赛事。本项技能大赛，旨在推进能力导向的专业实践教学...,2015-4-1115:53, 6381,http://www.52jingsai.com/data/attachment/portal/201504/11/155239iu2zfofj9xdo3sxw.jpg.thumb.jpg
2015移动互联网开发大赛,http://www.52jingsai.com/article-793-1.html,大赛名称：2015移动互联网开发大赛报名截止日期：4月30日指导单位：上海市教委主办单位：腾讯·大申网、腾讯开发平台、易班郭列从IDG创业大赛脱颖而出，成就了“脸萌”在APPStore金榜题名；张旭豪不停参加各种大赛...,2015-4-717:28, 4820,http://www.52jingsai.com/data/attachment/portal/201504/07/172804dnlkysvy9zuwhbay.jpg.thumb.jpg
微软2015编程之美挑战赛,http://www.52jingsai.com/article-748-1.html,大赛名称：微软2015编程之美挑战赛报名截止日期：4月19日大赛组委会主办方：微软亚太研发集团协办方：电气电子工程师学会(IEEE)承办方：微软学生技术俱乐部IEEE学生分会支持方：中国科技网亮码网络科技有限公司大...,2015-3-3122:19, 3783,http://www.52jingsai.com/data/attachment/portal/201503/31/221901u72oz6cr6oscj6xp.png.thumb.jpg
